s_id,cname1,cname2,cname3,genus,species,cultivar,x,y,Plants.On.Hornbake,height
16374,Abelia,Glossy,Rose Creek,Abelia,x grandiflora,Rose Creek,-76.94857974,38.98678658,No,1
16376,Abelia,Glossy,Rose Creek,Abelia,x grandiflora,Rose Creek,-76.94857398,38.98678779,No,1
11846,Abelia,Glossy,Variegated,Abelia,x grandiflora,Sunrise,-76.94122122,38.99065567,No,1
11849,Abelia,Glossy,Variegated,Abelia,x grandiflora,Sunrise,-76.94125893,38.99065638,No,1
16354,Abelia,Glossy,Rose Creek,Abelia,x grandiflora,Rose Creek,-76.9485789,38.98659995,No,1
16362,Abelia,Glossy,Rose Creek,Abelia,x grandiflora,Rose Creek,-76.94857765,38.98669418,No,1
16368,Abelia,Glossy,Rose Creek,Abelia,x grandiflora,Rose Creek,-76.9485788,38.98673558,No,1
16380,Abelia,Glossy,Rose Creek,Abelia,x grandiflora,Rose Creek,-76.9485779,38.98683403,No,1
13703,Abelia,Glossy,,Abelia,x grandiflora,,-76.9398848,38.98567061,No,1
16375,Abelia,Glossy,Rose Creek,Abelia,x grandiflora,Rose Creek,-76.94857931,38.98679547,No,1
11749,Abelia,Glossy,,Abelia,x grandiflora,,-76.94719003,38.99283553,No,1
11750,Abelia,Glossy,,Abelia,x grandiflora,,-76.9471907,38.99284668,No,1
11765,Abelia,Glossy,,Abelia,x grandiflora,,-76.94719103,38.99286605,No,1
11766,Abelia,Glossy,,Abelia,x grandiflora,,-76.94719102,38.99287454,No,1
16381,Abelia,Glossy,Rose Creek,Abelia,x grandiflora,Rose Creek,-76.94857671,38.98684278,No,1
16357,Abelia,Glossy,Rose Creek,Abelia,x grandiflora,Rose Creek,-76.94857767,38.98666265,No,1
11767,Abelia,Glossy,,Abelia,x grandiflora,,-76.94719101,38.99288516,No,1
11881,Abelia,Glossy,Variegated,Abelia,x grandiflora,Sunrise,-76.94129279,38.99063786,No,1
11883,Abelia,Glossy,Variegated,Abelia,x grandiflora,Sunrise,-76.94127616,38.99064434,No,1
11887,Abelia,Glossy,Variegated,Abelia,x grandiflora,Sunrise,-76.94123696,38.99064571,No,1
16758,Abelia,Glossy,,Abelia,x grandiflora,,-76.9403833,38.98669027,No,1
11746,Abelia,Glossy,,Abelia,x grandiflora,,-76.94719005,38.9928143,No,1
11813,Abelia,Glossy,Variegated,Abelia,x grandiflora,Sunrise,-76.94138769,38.99071758,No,1
11783,Abelia,Glossy,,Abelia,x grandiflora,,-76.94719302,38.99293028,No,1
11784,Abelia,Glossy,,Abelia,x grandiflora,,-76.94719165,38.9929393,No,1
11850,Abelia,Glossy,Variegated,Abelia,x grandiflora,Sunrise,-76.94127021,38.99065685,No,1
11854,Abelia,Glossy,Variegated,Abelia,x grandiflora,Sunrise,-76.9413106,38.99065502,No,1
11857,Abelia,Glossy,Variegated,Abelia,x grandiflora,Sunrise,-76.94130585,38.99065084,No,1
11877,Abelia,Glossy,Variegated,Abelia,x grandiflora,Sunrise,-76.94131001,38.99064297,No,1
16769,Abelia,Glossy,,Abelia,x grandiflora,,-76.94040247,38.98668373,No,1
